Time,AccumGyroZ,AngularVelocityZDevice,AngularVelocityZWorld,Yaw,
416.866,599.501953,,,,
416.866,599.501953,,,,
416.866,599.501953,,,,
416.866,599.501953,,,,
417.117,598.754883,,,,
417.117,598.754883,,,,
417.117,598.754883,,,,
417.117,598.754883,,,,
417.117,598.754883,,,,
417.368,598.183594,,,,
417.368,598.183594,,,,
417.368,598.183594,,,,
417.368,598.183594,,,,
417.368,598.183594,,,,
417.368,598.183594,,,,
417.616,597.612305,,,,
417.616,597.612305,,,,
417.616,597.612305,,,,
417.616,597.612305,,,,
417.616,597.612305,,,,
417.866,597.304688,,,,
417.866,597.304688,,,,
417.866,597.304688,,,,
417.866,597.304688,,,,
417.866,597.304688,,,,
418.115,597.348633,,,,
418.115,597.348633,,,,
418.115,597.348633,,,,
418.115,597.348633,,,,
418.115,597.348633,,,,
418.115,597.348633,,,,
418.366,597.348633,,,,
418.366,597.348633,,,,
418.366,597.348633,,,,
418.366,597.348633,,,,
418.366,597.348633,,,,
418.615,597.348633,,,,
418.615,597.348633,,,,
418.615,597.348633,,,,
418.615,597.348633,,,,
418.615,597.348633,,,,
418.867,597.348633,,,,
418.867,597.348633,,,,
418.867,597.348633,,,,
418.867,597.348633,,,,
418.867,597.348633,,,,
419.117,597.348633,,,,
419.117,597.348633,,,,
419.117,597.348633,,,,
419.117,597.348633,,,,
419.117,597.348633,,,,
419.367,597.348633,,,,
419.367,597.348633,,,,
419.367,597.348633,,,,
419.367,597.348633,,,,
419.367,597.348633,,,,
419.616,597.348633,,,,
419.616,597.348633,,,,
419.616,597.348633,,,,
419.616,597.348633,,,,
419.616,597.348633,,,,
419.616,597.348633,,,,
419.868,597.348633,,,,
419.868,597.348633,,,,
419.868,597.348633,,,,
419.868,597.348633,,,,
419.868,597.348633,,,,
420.117,597.348633,,,,
420.117,597.348633,,,,
420.117,597.348633,,,,
420.117,597.348633,,,,
420.117,597.348633,,,,
420.117,597.348633,,,,
420.368,597.348633,,,,
420.368,597.348633,,,,
420.368,597.348633,,,,
420.368,597.348633,,,,
420.368,597.348633,,,,
420.617,597.348633,,,,
420.617,597.348633,,,,
420.617,597.348633,,,,
420.617,597.348633,,,,
420.617,597.348633,,,,
420.617,597.348633,,,,
420.869,597.348633,,,,
420.869,597.348633,,,,
420.869,597.348633,,,,
420.869,597.348633,,,,
420.869,597.348633,,,,
421.115,597.348633,,,,
421.115,597.348633,,,,
421.115,597.348633,,,,
421.115,597.348633,,,,
421.115,597.348633,,,,
421.366,597.348633,,,,
421.366,597.348633,,,,
421.366,597.348633,,,,
421.366,597.348633,,,,
421.366,597.348633,,,,
421.615,597.304688,,,,
421.615,597.304688,,,,
421.615,597.304688,,,,
421.615,597.304688,,,,
421.615,597.304688,,,,
421.615,597.304688,,,,
421.867,597.348633,,,,
421.867,597.348633,,,,
421.867,597.348633,,,,
421.867,597.348633,,,,
421.867,597.348633,,,,
422.116,597.348633,,,,
422.116,597.348633,,,,
422.116,597.348633,,,,
422.116,597.348633,,,,
422.116,597.348633,,,,
422.365,597.348633,,,,
422.365,597.348633,,,,
422.365,597.348633,,,,
422.365,597.348633,,,,
422.365,597.348633,,,,
422.616,597.348633,,,,
422.616,597.348633,,,,
422.616,597.348633,,,,
422.616,597.348633,,,,
422.616,597.348633,,,,
422.868,597.348633,,,,
422.868,597.348633,,,,
422.868,597.348633,,,,
422.868,597.348633,,,,
422.868,597.348633,,,,
423.116,597.348633,,,,
423.116,597.348633,,,,
423.116,597.348633,,,,
423.116,597.348633,,,,
423.116,597.348633,,,,
423.116,597.348633,,,,
423.368,597.348633,,,,
423.368,597.348633,,,,
423.368,597.348633,,,,
423.368,597.348633,,,,
423.368,597.348633,,,,
423.616,597.348633,,,,
423.616,597.348633,,,,
423.616,597.348633,,,,
423.616,597.348633,,,,
423.616,597.348633,,,,
423.867,597.348633,,,,
423.867,597.348633,,,,
423.867,597.348633,,,,
423.867,597.348633,,,,
423.867,597.348633,,,,
424.117,597.348633,,,,
424.117,597.348633,,,,
424.117,597.348633,,,,
424.117,597.348633,,,,
424.117,597.348633,,,,
424.117,597.348633,,,,
424.368,597.348633,,,,
424.368,597.348633,,,,
424.368,597.348633,,,,
424.368,597.348633,,,,
424.368,597.348633,,,,
424.617,597.348633,,,,
424.617,597.348633,,,,
424.617,597.348633,,,,
424.617,597.348633,,,,
424.617,597.348633,,,,
424.868,597.348633,,,,
424.868,597.348633,,,,
424.868,597.348633,,,,
424.868,597.348633,,,,
424.868,597.348633,,,,
424.868,597.348633,,,,
425.116,597.304688,,,,
425.116,597.304688,,,,
425.116,597.304688,,,,
425.116,597.304688,,,,
425.116,597.304688,,,,
425.366,597.348633,,,,
425.366,597.348633,,,,
425.366,597.348633,,,,
425.366,597.348633,,,,
425.366,597.348633,,,,
425.615,597.348633,,,,
425.615,597.348633,,,,
425.615,597.348633,,,,
425.615,597.348633,,,,
425.615,597.348633,,,,
425.866,597.304688,,,,
425.866,597.304688,,,,
425.866,597.304688,,,,
425.866,597.304688,,,,
425.866,597.304688,,,,
425.866,597.304688,,,,
426.117,597.304688,,,,
426.117,597.304688,,,,
426.117,597.304688,,,,
426.117,597.304688,,,,
426.117,597.304688,,,,
426.366,597.304688,,,,
426.366,597.304688,,,,
426.366,597.304688,,,,
426.366,597.304688,,,,
426.366,597.304688,,,,
426.616,597.304688,,,,
426.616,597.304688,,,,
426.616,597.304688,,,,
426.616,597.304688,,,,
426.616,597.304688,,,,
426.616,597.304688,,,,
426.868,597.304688,,,,
426.868,597.304688,,,,
426.868,597.304688,,,,
426.868,597.304688,,,,
427.115,597.304688,,,,
427.115,597.304688,,,,
427.115,597.304688,,,,
427.115,597.304688,,,,
427.115,597.304688,,,,
427.115,597.304688,,,,
427.368,597.348633,,,,
427.368,597.348633,,,,
427.368,597.348633,,,,
427.368,597.348633,,,,
427.368,597.348633,,,,
427.617,597.348633,,,,
427.617,597.348633,,,,
427.617,597.348633,,,,
427.617,597.348633,,,,
427.617,597.348633,,,,
427.617,597.348633,,,,
427.867,597.348633,,,,
427.867,597.348633,,,,
427.867,597.348633,,,,
427.867,597.348633,,,,
427.867,597.348633,,,,
428.116,597.304688,0,,,
428.116,597.304688,0,,,
428.116,597.304688,0,,,
428.116,597.304688,0,,,
428.116,597.304688,0,,,
428.367,597.304688,,,,
428.367,597.304688,,,,
428.367,597.304688,,,,
428.367,597.304688,,,,
428.367,597.304688,,,,
428.368,,0,,,
428.368,,0,,,
428.368,,0,,,
428.368,,0,,,
428.368,,0,,,
428.617,597.304688,0,,,
428.617,597.304688,0,,,
428.617,597.304688,0,,,
428.617,597.304688,0,,,
428.617,597.304688,0,,,
428.617,597.304688,0,,,
428.828,,,0,,
428.828,,,0,,
428.866,597.304688,-0.060976,,,
428.866,597.304688,-0.060976,,,
428.866,597.304688,-0.060976,,,
428.866,597.304688,-0.060976,,,
428.915,,,-0.023438,,
428.915,,,-0.023438,,
429.016,,,-0.007812,,
429.016,,,-0.007812,,
429.016,,,-0.007812,,
429.115,597.304688,,-0.011719,,
429.115,597.304688,,-0.011719,,
429.115,597.304688,,-0.011719,,
429.115,597.304688,,,,
429.115,597.304688,,,,
429.115,597.304688,,,,
429.116,,0,,,
429.116,,0,,,
429.116,,0,,,
429.116,,0,,,
429.116,,0,,,
429.116,,0,,,
429.216,,,0,,
429.216,,,0,,
429.216,,,0,,
429.329,,,-0.078125,,
429.329,,,-0.078125,,
429.366,597.304688,,,,
429.366,597.304688,,,,
429.366,597.304688,,,,
429.366,597.304688,,,,
429.366,597.304688,,,,
429.367,,0,,,
429.367,,0,,,
429.367,,0,,,
429.367,,0,,,
429.367,,0,,,
429.416,,,-0.03125,,
429.416,,,-0.03125,,
429.416,,,-0.03125,,
429.516,,,-0.015625,,
429.516,,,-0.015625,,
429.516,,,-0.015625,,
429.616,597.304688,,0.003906,,
429.616,597.304688,,0.003906,,
429.616,597.304688,,,,
429.616,597.304688,,,,
429.616,597.304688,,,,
429.617,,0,,,
429.617,,0,,,
429.617,,0,,,
429.617,,0,,,
